journal_name,ranking,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Washington University Law Review,35,34,29,43,35,38,47,58,0,28,29,36,51,42,42,38,38,38,38,39,37,44,42,29,46
Florida Law Review,36,41,31,28,51,28,28,32,34,36,41,38,39,51,46,53,44,45,36,32,35,29,23,4,26
Cardozo Law Review,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,51,53,54,59,75,54,63,32,43
North Carolina Law Review,38,0,53,48,53,52,43,48,42,46,46,53,56,49,44,45,45,47,39,41,43,40,39,39,42
Alabama Law Review,39,0,55,62,38,36,35,34,45,43,39,38,32,27,34,35,37,29,29,28,27,32,22,27,28
Stanford Law Review Online,40,0,0,0,0,0,0,0,0,0,0,0,0,25,17,19,13,13,26,19,24,16,16,10,17
Stanford Technology Law Review,41,2,4,4,5,3,1,5,3,4,6,5,12,11,0,0,0,0,0,0,0,0,0,0,0
American Journal of International Law,42,22,40,44,54,47,18,52,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewis & Clark Law Review,44,0,0,0,0,0,40,40,40,44,36,52,39,36,29,37,38,33,31,33,31,39,0,42,22
Harvard Civil Rights-Civil Liberties Law Review,45,12,10,14,13,19,23,21,23,31,22,19,18,14,14,14,13,13,16,16,20,22,13,17,18
Wisconsin Law Review,46,41,41,31,31,46,37,35,36,33,34,36,29,39,48,31,44,30,29,29,36,45,44,22,0
Wake Forest Law Review,48,31,41,29,40,37,33,31,27,28,48,49,36,35,40,49,41,36,40,34,36,27,24,5,23
Arizona Law Review,49,35,33,29,34,36,35,54,48,47,33,34,41,32,30,36,33,28,27,26,26,26,26,27,26
Supreme Court Review,50,8,8,9,10,8,9,10,8,9,9,10,8,9,9,7,9,9,10,12,9,0,0,0,0
Emory Law Journal,51,31,35,34,52,45,44,16,39,50,41,37,27,34,32,31,56,38,31,32,26,27,35,38,33
Maryland Law Review,52,18,27,21,16,18,31,35,40,32,25,32,34,39,36,34,33,40,36,35,30,29,28,28,26
Journal of Corporation Law,53,0,34,25,29,25,42,42,28,31,36,34,30,30,30,30,25,30,27,31,27,30,31,36,34
Harvard Journal of Law & Public Policy,54,0,34,50,36,39,30,37,43,61,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Colorado Law Review,55,0,0,0,0,0,0,0,0,0,0,22,19,24,31,26,25,22,27,29,28,28,41,24,28
Harvard Law Review Forum,56,0,0,0,0,0,0,28,7,6,0,0,23,27,31,43,33,32,26,12,8,10,30,29,17
U.C. Irvine Law Review,57,0,0,0,0,0,0,0,0,0,0,0,41,32,41,36,47,18,25,25,37,35,35,0,0
Brigham Young University Law Review,58,46,46,29,40,44,34,37,44,46,50,79,66,59,40,42,45,39,40,30,34,9,38,20,50
Utah Law Review,59,37,33,22,37,37,27,42,31,39,67,44,40,44,46,32,26,23,27,28,28,28,28,28,29
Ohio State Law Journal,60,30,45,31,42,38,26,34,51,34,41,29,35,36,34,34,32,36,44,35,31,26,36,33,14
Administrative Law Review,61,43,42,43,23,52,31,43,29,28,38,33,42,28,25,20,16,15,26,22,22,21,26,22,16
Duke Law & Technology Review,62,0,0,0,72,35,14,28,17,10,9,11,18,13,14,12,10,15,18,13,6,24,10,5,2
Columbia Business Law Review,63,19,15,19,25,26,22,14,18,20,21,19,17,23,24,18,18,18,18,20,22,19,32,0,0
Georgia Law Review,64,0,32,24,25,30,23,34,39,24,25,27,23,29,33,30,24,35,28,29,33,30,43,0,45
Journal of Criminal Law and Criminology,65,0,25,21,25,29,33,36,25,34,31,45,31,31,27,26,26,20,19,22,17,24,20,21,15
Nevada Law Journal,66,0,14,26,36,25,34,62,41,42,23,33,29,0,35,44,53,36,32,31,28,30,30,31,22
Arizona State Law Journal,67,28,29,42,35,35,30,31,41,45,34,0,93,54,42,40,33,42,40,39,35,36,39,31,17
Washington and Lee Law Review,68,0,43,38,35,38,43,41,41,41,44,35,49,44,48,56,36,39,48,37,32,33,0,52,33
American University Law Review,69,0,44,28,41,34,30,30,34,38,33,36,32,36,38,37,32,35,33,38,42,42,36,22,40
Connecticut Law Review,70,0,40,50,46,37,34,35,56,48,41,42,46,42,44,49,35,46,40,25,23,0,75,27,23
Denver Law Review,72,0,48,0,30,24,25,37,39,37,55,37,33,40,42,41,29,25,21,26,29,23,23,22,29
Harvard Law & Policy Review,73,0,0,0,0,0,0,0,29,22,22,22,21,19,19,18,19,19,17,9,15,19,17,22,0
Virginia Law Review Online,74,0,0,0,0,0,0,0,0,40,0,13,18,10,6,5,0,18,6,10,16,6,16,16,10
Yale Journal of International Law,75,12,30,16,15,15,14,16,20,11,25,13,12,11,13,10,9,12,8,9,9,9,9,8,9
American Business Law Journal,76,0,20,17,21,14,5,16,19,21,18,21,16,18,22,18,18,19,15,14,16,19,0,0,0
New York University Review of Law & Social Change,77,0,13,18,0,23,24,27,37,14,13,21,21,20,45,21,16,16,18,16,17,0,17,17,13
Georgetown Journal of Law & Public Policy,78,0,0,0,52,28,25,22,32,31,24,18,18,28,30,37,27,44,0,0,0,0,0,0,0
Journal of Legal Analysis,79,0,0,0,0,0,0,0,0,0,16,16,12,16,8,8,13,11,7,4,4,0,14,6,0
American Criminal Law Review,80,41,45,37,50,40,41,37,48,37,45,46,41,48,39,49,44,45,44,43,45,36,44,38,40
Oklahoma Law Review,81,25,35,33,30,45,0,48,25,27,0,25,28,26,20,28,19,23,19,28,32,28,26,15,27
Buffalo Law Review,82,24,24,15,22,31,0,35,42,69,43,23,22,25,22,25,26,27,23,19,30,29,32,6,21
Texas A&M Law Review,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,26,27,17,15,24,18,21,17,46
"Stanford Journal of Law, Business & Finance",84,0,7,6,11,10,14,11,12,10,10,8,8,8,8,10,8,7,5,5,4,7,8,7,8
University of Pennsylvania Journal of Constitutional Law,85,21,25,22,29,44,31,31,31,31,43,20,0,0,0,0,0,0,0,0,0,0,0,0,0
Law and Contemporary Problems,86,42,37,36,30,31,37,34,43,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Temple Law Review,87,34,31,26,24,30,29,38,43,33,0,43,31,26,24,24,34,31,23,22,22,28,27,10,21
Tax Law Review,88,0,11,17,9,12,8,8,8,9,20,29,15,26,20,28,16,15,17,17,7,6,6,6,6
Harvard Journal of Law & Gender,89,8,8,6,6,17,13,14,23,13,11,24,14,14,11,12,12,9,10,10,10,10,8,4,6
Tulane Law Review,90,0,67,53,47,72,45,60,53,62,46,52,39,35,39,34,41,38,29,32,34,28,32,20,31
Michigan Journal of Race & Law,91,0,12,19,13,13,25,20,13,12,7,12,11,9,11,11,13,16,12,5,10,7,12,14,7
Harvard Journal on Legislation,92,26,18,19,16,27,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fordham Urban Law Journal,93,0,63,86,70,50,35,47,59,38,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgetown Law Journal Online,94,0,0,0,0,0,0,0,0,0,0,0,0,6,6,13,0,15,5,4,0,17,0,12,11
George Mason Law Review,95,0,34,40,27,32,39,0,29,34,30,28,27,43,34,44,41,42,45,24,47,26,42,15,26
South Carolina Law Review,96,0,36,44,38,41,36,30,38,31,39,38,31,42,39,33,28,32,38,28,34,27,31,29,32
Brooklyn Law Review,97,0,33,43,32,34,38,42,33,37,42,47,44,37,44,54,41,46,45,36,35,32,32,40,34
Stanford Law & Policy Review,98,22,19,19,22,19,22,28,16,22,23,23,22,19,21,17,19,7,8,9,10,7,8,8,7
Michigan State Law Review,99,40,62,57,46,36,38,55,26,37,46,36,54,54,46,39,45,28,24,25,26,26,30,23,0
Yale Law & Policy Review,100,0,17,21,14,18,25,16,13,15,16,18,16,28,0,22,14,16,22,11,13,9,12,12,12
Boston University Journal of Science & Technology Law,101,17,21,24,16,14,12,13,10,10,12,12,12,12,13,10,18,9,15,13,19,12,17,0,0
University of Richmond Law Review,102,0,34,49,37,36,46,42,40,47,42,41,35,35,38,34,41,46,47,42,43,34,24,25,42
Harvard International Law Journal,103,14,16,20,19,11,19,16,21,11,10,10,11,13,10,11,9,12,10,11,11,10,21,10,10
Seton Hall Law Review,104,0,42,0,62,36,35,30,35,48,38,46,44,39,34,34,29,29,32,57,31,45,48,24,58
Marquette Law Review,105,0,21,24,23,48,35,39,34,38,25,55,32,46,28,23,47,26,31,6,0,0,0,0,0
William & Mary Bill of Rights Journal,106,0,29,21,35,32,33,40,41,45,32,34,33,28,31,37,38,34,40,33,34,33,28,31,32
Houston Law Review,108,42,0,40,40,40,39,36,39,37,51,43,40,46,42,36,30,34,36,30,31,37,32,27,44
SMU Law Review,109,66,87,66,82,52,53,62,58,59,82,61,58,35,43,41,48,26,31,60,49,35,32,10,27
Chicago-Kent Law Review,111,0,55,38,48,46,45,49,62,51,0,83,46,36,41,40,38,40,46,41,30,33,8,19,11
North Carolina Journal of Law & Technology,112,0,0,16,14,16,16,13,14,18,20,26,20,11,13,13,11,12,13,8,12,18,17,20,28
Berkeley Business Law Journal,113,0,0,0,0,12,19,10,7,7,7,5,15,6,0,13,5,5,4,7,11,10,10,9,10
Penn State Law Review,114,0,22,35,30,42,37,37,28,29,40,40,38,33,37,26,25,26,29,23,25,24,31,0,34
Nebraska Law Review,115,33,21,0,29,25,0,0,0,32,34,25,30,23,0,0,0,24,26,28,25,30,30,26,38
Tennessee Law Review,116,0,26,28,28,30,40,24,22,31,36,26,35,24,25,27,32,31,23,20,26,19,24,0,37
Michigan Technology Law Review,117,0,10,5,10,8,10,6,22,13,16,13,12,16,12,14,11,14,10,9,7,9,11,10,9
Seattle University Law Review,118,0,47,29,30,25,22,36,40,39,34,46,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia Journal of International Law,119,0,27,26,24,28,21,19,19,18,19,24,21,21,20,21,17,17,0,23,18,14,17,14,16
Columbia Journal of Law & the Arts,120,0,16,13,15,13,16,21,26,19,18,16,41,18,17,22,27,29,19,24,25,25,19,19,22
Georgia State University Law Review,121,0,51,43,50,62,52,40,41,42,42,47,38,42,37,38,28,38,34,33,44,42,0,22,33
Virginia Tax Review,122,0,14,16,14,13,19,24,29,19,21,19,19,16,18,16,13,12,10,11,10,12,10,11,19
Florida State University Law Review,123,0,27,40,37,28,46,53,42,26,29,23,26,31,24,30,28,36,30,25,22,27,25,0,12
Villanova Law Review,124,47,39,39,33,28,48,41,34,29,37,39,0,73,39,31,30,32,29,29,31,32,30,6,18
Georgetown Journal of Gender and the Law,125,56,42,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCLA Law Review Discourse,126,0,0,0,0,0,0,0,0,3,4,12,12,18,19,21,9,0,26,17,11,0,44,18,13
Pepperdine Law Review,127,0,29,23,19,29,37,29,41,32,40,31,38,44,41,35,27,33,34,17,20,32,35,14,17
Law & Social Inquiry,128,43,30,40,40,27,22,38,37,38,32,40,36,40,44,45,53,48,55,65,57,0,0,0,0
Columbia Human Rights Law Review,129,0,14,13,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UMKC Law Review,130,0,37,36,38,42,38,40,43,46,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanderbilt Journal of Entertainment and Technology Law,131,18,18,14,20,18,28,27,23,26,27,26,24,27,25,25,24,26,23,0,0,0,0,0,0
Federal Courts Law Review,135,0,0,0,0,0,0,29,8,0,11,0,21,18,0,10,13,15,0,3,3,0,4,3,2
University of Pennsylvania Law Review Online,136,0,0,0,0,0,0,19,38,24,20,16,26,22,0,20,0,26,37,0,16,0,0,23,0
University of Kansas Law Review,137,0,30,29,36,30,30,30,40,31,33,31,32,28,32,32,30,36,27,29,27,30,27,16,32
"Yale Journal of Health Policy, Law, and Ethics",138,0,17,20,19,23,28,12,9,8,17,7,11,8,7,7,20,7,9,0,8,10,9,0,7
Georgetown Journal of Legal Ethics,139,25,46,35,32,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York University Journal of Legislation and Public Policy,140,18,19,18,21,18,15,20,17,18,12,16,27,23,35,22,26,25,19,0,30,15,17,15,19
Chicago Journal of International Law,141,47,41,42,35,0,41,43,32,27,24,27,21,23,26,18,21,17,17,17,16,13,13,24,30
Clinical Law Review,142,11,17,23,20,23,21,14,23,14,10,18,16,12,15,12,14,11,24,8,8,25,9,15,9
San Diego Law Review,143,29,27,34,42,67,62,34,42,29,38,37,42,34,22,33,30,26,29,26,34,24,24,17,17
Constitutional Commentary,145,41,24,23,0,54,25,15,26,0,28,20,34,0,11,26,28,18,30,20,18,17,11,15,0
Jurimetrics,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"Washington Journal of Law, Technology & Arts",147,0,0,0,0,0,12,19,16,17,24,0,20,27,28,17,17,19,13,12,6,7,5,7,10
DePaul Law Review,148,38,46,36,40,52,39,43,48,41,36,36,36,34,38,31,0,40,0,28,31,31,25,29,26
Duke Journal of Constitutional Law & Public Policy,149,0,0,0,0,0,0,4,5,5,7,8,14,24,10,10,12,6,14,10,6,8,9,10,7
Vanderbilt Journal of Transnational Law,150,28,35,48,52,33,45,45,45,34,35,32,37,29,31,30,32,31,33,46,31,37,29,28,33
University of Michigan Journal of Law Reform,151,19,16,20,0,26,17,18,22,35,22,27,24,29,41,28,26,22,29,18,26,19,21,23,17
Kentucky Law Journal,152,0,33,34,27,27,24,24,27,23,22,27,25,26,21,33,23,24,21,27,22,23,22,24,22
"Fordham Intellectual Property, Media & Entertainment Law Journal",153,22,20,33,29,27,21,35,34,34,25,28,24,23,33,26,23,22,20,17,28,29,22,22,18
Michigan Law Review Online,154,0,0,0,0,0,0,0,0,0,0,15,15,10,11,21,8,14,6,11,7,6,9,5,1
First Amendment Law Review,155,0,0,0,8,14,13,13,14,12,14,12,18,18,16,21,13,15,16,21,18,13,12,12,14
Journal of Empirical Legal Studies,156,0,0,0,0,29,16,20,34,33,31,32,44,30,33,28,27,28,28,30,31,28,26,0,0
New York University Journal of Law & Business,157,0,0,0,0,0,27,20,17,16,22,12,20,14,25,14,22,28,19,24,19,22,19,17,17
Akron Law Review,159,19,26,18,20,25,31,32,20,27,36,34,30,27,32,32,30,57,33,31,27,0,23,11,11
Michigan Journal of International Law,160,19,16,23,32,46,37,28,25,13,26,15,17,25,15,18,15,16,14,12,15,14,15,16,10
Yale Journal of Law and Feminism,162,8,9,22,7,7,18,18,0,15,13,21,8,8,7,5,0,9,10,21,0,9,5,7,20
Saint Louis University Law Journal,164,71,51,52,52,52,45,60,54,62,50,52,60,46,44,50,47,31,36,52,28,26,40,32,29
Santa Clara Law Review,165,0,32,31,29,33,32,29,22,29,32,29,30,38,25,25,24,17,16,21,0,34,23,19,0
Cornell Journal of Law and Public Policy,166,21,20,17,20,17,14,14,17,18,20,21,25,24,21,18,17,20,20,25,17,28,17,20,0
Rutgers University Law Review,167,0,30,39,27,30,26,24,28,30,44,27,42,27,27,27,47,47,45,38,37,51,44,18,34
Journal of Legal Education,169,42,57,45,40,45,49,43,31,36,0,39,35,37,39,44,51,46,28,0,0,0,0,0,0
Journal of Technology Law & Policy,171,4,8,12,10,11,12,15,13,12,8,10,13,9,11,9,10,0,10,9,8,7,2,2,0
Hofstra Law Review,172,0,37,38,39,50,36,47,57,57,32,38,29,39,24,38,41,49,73,42,44,29,28,20,29
Missouri Law Review,173,35,32,34,32,44,47,44,45,47,47,43,41,40,43,43,45,42,43,37,36,35,38,10,33
Syracuse Law Review,174,41,31,51,40,33,38,35,49,39,45,43,0,64,18,33,26,43,36,38,29,37,54,41,32
Cornell International Law Journal,175,21,16,23,0,44,36,31,21,22,18,17,24,18,19,23,18,19,19,0,25,41,13,9,0
University of Pennsylvania Journal of Business Law,176,0,27,24,25,26,34,27,28,27,28,32,26,28,23,24,27,25,23,20,21,21,21,23,19
Columbia Law Review Forum,177,0,0,0,0,0,0,0,3,5,16,7,14,19,15,8,10,10,13,11,12,16,12,9,9
Drexel Law Review,178,0,0,0,0,0,0,0,0,0,16,16,32,19,16,16,11,11,14,16,21,18,23,20,18
Fordham International Law Journal,179,67,70,59,50,48,50,35,46,48,47,39,42,43,39,42,37,30,40,34,41,34,29,25,19
Loyola University Chicago Law Journal,180,0,24,32,22,25,44,22,27,29,26,28,21,25,44,34,33,31,37,30,39,27,28,12,25
University of St. Thomas Law Journal,181,0,0,0,0,44,25,31,31,34,33,31,23,28,42,19,0,22,25,26,25,22,31,9,33
University of Memphis Law Review,182,34,31,28,33,25,23,34,26,21,27,16,28,26,25,24,25,25,31,34,39,27,26,24,23
Minnesota Law Review Headnotes,183,0,0,0,0,0,0,0,0,0,3,5,10,5,2,7,6,8,16,2,9,6,20,18,9
Southern California Law Review Postscript,184,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Case Western Reserve Law Review,185,0,32,40,50,44,43,48,43,57,38,42,34,44,43,44,38,32,39,43,35,51,58,0,25
Cleveland State Law Review,186,40,32,0,20,24,33,49,21,25,29,24,26,0,60,16,31,24,23,20,21,20,22,20,34
UC Davis Law Review Online,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,19,8,6,5,4
Journal of Legal Studies,189,47,36,39,22,16,19,17,25,29,18,16,14,15,14,30,34,15,0,0,0,0,0,0,0
Northwestern Journal of Law and Social Policy,190,0,0,0,0,0,0,12,5,13,17,15,19,15,9,13,0,19,21,14,11,15,13,9,10
Notre Dame Law Review Reflection,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,11,13,20,13,20,27,18
Cardozo Arts & Entertainment Law Journal,192,14,17,23,15,0,24,18,36,31,28,24,42,18,33,27,21,24,25,24,28,22,36,0,59
University of Cincinnati Law Review,193,0,39,42,52,47,47,46,51,47,54,49,44,50,45,43,44,42,39,40,38,41,40,40,59
Albany Law Review,194,39,45,48,56,50,68,50,56,45,49,56,64,80,67,45,51,43,41,49,46,33,22,26,20
Berkeley Journal of Employment and Labor Law,195,23,11,11,19,12,22,16,18,12,11,13,15,9,9,13,9,9,12,17,16,11,10,10,7
Louisiana Law Review,196,62,32,45,53,30,41,48,37,39,29,40,31,31,31,36,35,40,31,36,31,35,35,29,30
California Law Review Online,197,0,0,0,0,0,0,0,0,0,0,8,7,18,17,15,17,13,7,8,0,0,30,21,4
Catholic University Law Review,198,0,31,39,34,30,33,38,37,32,34,33,33,32,32,32,33,26,25,23,26,23,23,10,16
Ohio State Journal on Dispute Resolution,199,35,31,32,32,35,33,29,29,23,26,28,17,24,23,16,0,19,22,14,19,22,20,14,20
Washington and Lee Law Review Online,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,27,35,27,7,8,23,3,12
University of Miami Law Review,205,0,50,37,40,51,13,18,28,40,35,49,46,38,33,32,35,32,25,25,27,23,27,21,28
University of Pittsburgh Law Review,209,0,30,24,21,25,25,21,22,24,19,29,22,19,34,24,17,16,16,22,28,25,28,13,0
